"BLRDUCT",NA,NA,NA,NA,NA
"DHRAD",NA,NA,NA,2,2
"DHFNCL",NA,NA,NA,1,1
"DHINDC",NA,NA,NA,2,2
"DHLOOP",NA,NA,NA,2,1
"DHAIR",NA,NA,NA,1,2
"DHPKG",NA,NA,NA,2,2
"DHDUCT",NA,NA,NA,2,2
"HPHPKG",NA,NA,NA,NA,NA
"HPHSPLT",NA,NA,NA,NA,NA
"HPHROOM",NA,NA,NA,NA,NA
"HPHMINI",NA,NA,NA,NA,NA
"HPHVRF",NA,NA,NA,NA,NA
"HPHAIR",NA,NA,NA,NA,NA
"HPHGRD",NA,NA,NA,NA,NA
"HPHDUAL",NA,NA,NA,NA,NA
"HPHWTR",NA,NA,NA,NA,NA
"HPHBKUP",NA,NA,NA,NA,NA
"SHRDNT",2,NA,NA,2,NA
"SHBBRD",2,NA,NA,1,NA
"SHPORT",2,NA,NA,1,NA
"SHWALL",2,NA,NA,2,NA
"SHFURN",1,NA,NA,2,NA
"SHUNIT",2,NA,NA,2,NA
"SHPTAC",2,NA,NA,2,NA
"OTSTRP",NA,NA,NA,NA,NA
"OTDUCT",NA,NA,NA,NA,NA
"OTPIU",NA,NA,NA,NA,NA
"HTVCAV",NA,1,NA,1,1
"HTVVAV",NA,2,NA,2,2
"HTVFLR",NA,2,NA,2,2
"HTVOAS",NA,2,NA,2,2
"HTVDEM",NA,2,NA,2,2
"HTVNON",NA,2,NA,2,2
"ELCOOL",1,1,2,1,1
"NGCOOL",NA,2,NA,2,NA
"FKCOOL",2,NA,NA,2,2
"PRCOOL",2,NA,2,NA,NA
"STCOOL",NA,NA,NA,NA,NA
"HWCOOL",NA,NA,NA,2,2
"CWCOOL",NA,NA,NA,1,1
"OTCOOL",NA,NA,NA,NA,NA
"COOLP",25,100,NA,100,100
"RCAC",2,2,NA,2,2
"PKGCL",2,1,NA,1,1
"CHILLR",2,2,NA,2,2
"CHWT",2,2,NA,1,1
"HTPMPC",2,2,NA,2,2
"ACWNWL",1,2,NA,2,2
"EVAPCL",2,2,NA,2,2
"OTCLEQ",2,2,NA,2,2
"RCACP",NA,NA,NA,NA,NA
"PKGCP",NA,100,NA,16,3
"CHILP",NA,NA,NA,NA,NA
"CHWTP",NA,NA,NA,85,97
"HTPCP",NA,NA,NA,NA,NA
"ACWNWP",100,NA,NA,NA,NA
"EVAPP",NA,NA,NA,NA,NA
"OTCLP",NA,NA,NA,NA,NA
"MAINCL",6,2,NA,4,4
"NWMNCL",2,1,NA,NA,NA
"PKGCLTYP",NA,1,NA,1,1
"CHLAIRCL",NA,NA,NA,NA,NA
"CHLWTRCL",NA,NA,NA,NA,NA
"CHLABSRP",NA,NA,NA,NA,NA
"HTRCHLR",NA,NA,NA,NA,NA
"CHLAIR",NA,NA,NA,NA,NA
"CHLFNCL",NA,NA,NA,NA,NA
"CHLINDC",NA,NA,NA,NA,NA
"CHLLOOP",NA,NA,NA,NA,NA
"CHLBEAM",NA,NA,NA,NA,NA
"CHLPKG",NA,NA,NA,NA,NA
"CHLDUCT",NA,NA,NA,NA,NA
"DCWAIR",NA,NA,NA,1,1
"DCWFNCL",NA,NA,NA,1,1
"DCWINDC",NA,NA,NA,1,2
"DCWLOOP",NA,NA,NA,2,2
"DCWBEAM",NA,NA,NA,2,2
"DCWPKG",NA,NA,NA,1,2
"DCWDUCT",NA,NA,NA,2,2
"HPCPKG",NA,NA,NA,NA,NA
"HPCSPLT",NA,NA,NA,NA,NA
"HPCROOM",NA,NA,NA,NA,NA
"HPCMINI",NA,NA,NA,NA,NA
"HPCVRF",NA,NA,NA,NA,NA
"HPCAIR",NA,NA,NA,NA,NA
"HPCGRD",NA,NA,NA,NA,NA
"HPCDUAL",NA,NA,NA,NA,NA
"HPCWTR",NA,NA,NA,NA,NA
"CLVCAV",NA,1,NA,1,1
"CLVVAV",NA,2,NA,2,1
"CLVFLR",NA,2,NA,2,2
"CLVOAS",NA,2,NA,2,1
"CLVDEM",NA,2,NA,2,2
"CLVNON",NA,2,NA,2,2
"EMCS",2,1,NA,1,1
"RDHTNF",1,1,NA,2,2
"HWRDHT",3,1,NA,NA,NA
"RDCLNF",1,1,NA,2,2
"HWRDCL",4,1,NA,NA,NA
"ECN",NA,2,NA,1,2
"ECNTYPE",NA,NA,NA,1,NA
"MAINT",NA,1,NA,1,1
"ELWATR",1,1,1,2,2
"NGWATR",NA,1,NA,1,NA
"FKWATR",2,NA,NA,2,2
"PRWATR",2,NA,1,NA,NA
"STWATR",NA,NA,NA,NA,NA
"HWWATR",NA,NA,NA,2,1
"WOWATR",NA,NA,NA,NA,NA
"COWATR",NA,NA,NA,NA,NA
"SOWATR",NA,NA,NA,NA,NA
"OTWATR",NA,NA,NA,NA,NA
"WTHTEQ",1,3,1,2,1
"BOOSTWT",NA,0,NA,NA,NA
"INSTWT",NA,NA,NA,1,NA
"ELCOOK",2,1,2,1,2
"NGCOOK",NA,2,NA,1,NA
"FKCOOK",2,NA,NA,2,2
"PRCOOK",2,NA,1,NA,NA
"STCOOK",NA,NA,NA,NA,NA
"HWCOOK",NA,NA,NA,2,2
"WOCOOK",NA,NA,NA,NA,NA
"COCOOK",NA,NA,NA,NA,NA
"SOCOOK",NA,NA,NA,NA,NA
"OTCOOK",NA,NA,NA,NA,NA
"ELMANU",2,2,2,2,2
"NGMANU",NA,2,NA,2,NA
"FKMANU",2,NA,NA,2,2
"PRMANU",2,NA,2,NA,NA
"STMANU",NA,NA,NA,NA,NA
"HWMANU",NA,NA,NA,2,2
"WOMANU",NA,NA,NA,NA,NA
"COMANU",NA,NA,NA,NA,NA
"SOMANU",NA,NA,NA,NA,NA
"OTMANU",NA,NA,NA,NA,NA
"NGGENR",NA,2,NA,2,NA
"FKGENR",2,NA,NA,1,1
"PRGENR",2,NA,2,NA,NA
"WOGENR",NA,NA,NA,NA,NA
"COGENR",NA,NA,NA,NA,NA
"SOGENR",NA,NA,NA,NA,NA
"OTGENR",NA,NA,NA,NA,NA
"PVC",NA,NA,NA,2,2
"FUELCL",NA,NA,NA,2,2
"LRGTRB",NA,NA,NA,2,2
"MCROTB",NA,NA,NA,2,2
"ENGINE",NA,NA,NA,2,2
"GENUSE",NA,NA,NA,1,1
"COGEN",NA,NA,NA,NA,NA
"TOGRID",NA,NA,NA,NA,NA
"NGOTH",NA,2,NA,2,NA
"FKOTH",1,NA,NA,2,2
"PROTH",2,NA,2,NA,NA
"STOTH",NA,NA,NA,NA,NA
"HWOTH",NA,NA,NA,2,2
"CWOTH",NA,NA,NA,2,2
"WOOTH",NA,NA,NA,NA,NA
"COOTH",NA,NA,NA,NA,NA
"SOOTH",NA,NA,NA,NA,NA
"OTOTH",NA,NA,NA,NA,NA
"ELLOCUT",1,NA,1,1,2
"ELNONLU",2,NA,2,2,2
"ELOTSRC",2,NA,2,2,1
"ELCPLT",2,NA,2,2,2
"ELLUPCT",NA,NA,NA,NA,NA
"NGSRC",NA,NA,NA,1,NA
"PRAMTC",4,NA,3,NA,NA
"PRUNIT",1,NA,1,NA,NA
"WOAMT",NA,NA,NA,NA,NA
"WOSRC",NA,NA,NA,NA,NA
"WOEXP",NA,NA,NA,NA,NA
"WOEXPC",NA,NA,NA,NA,NA
"AMIMETER",2,2,2,2,2
"ENRGYPLN",2,2,NA,1,2
"SNACK",NA,2,NA,1,NA
"FASTFD",NA,1,NA,1,NA
"CAF",NA,2,NA,1,NA
"FDPREP",NA,2,NA,1,NA
"KITCHN",NA,2,NA,2,NA
"BREAKRM",NA,2,NA,1,NA
"OTFDRM",NA,2,NA,2,NA
"HWTRM",2,2,2,1,1
"LAUNDR",NA,NA,NA,1,NA
"CONFSP",NA,NA,NA,1,NA
"CONFSPP",NA,NA,NA,12,NA
"MEDEQP",NA,2,NA,NA,1
"XRAYN",NA,NA,NA,NA,0
"CTSCAN",NA,NA,NA,NA,2
"MRI",NA,NA,NA,NA,2
"LINACC",NA,NA,NA,NA,2
"OUTSURG",NA,NA,NA,NA,NA
"LABEQP",2,2,NA,NA,2
"MCHEQP",1,1,NA,NA,NA
"POOL",NA,NA,NA,2,NA
"HTPOOL",NA,NA,NA,NA,NA
"POOLSRC",NA,NA,NA,NA,NA
"STRLZR",NA,NA,2,2,2
"RFGEQP",1,1,1,1,1
"RFGRES",1,1,1,2,1
"RFGCOMP",2,1,2,1,1
"RFGWI",2,1,1,1,2
"RFGOP",2,1,2,1,2
"RFGCL",2,1,2,1,2
"RFGVEN",2,2,2,2,2
"RFGICE",2,1,2,1,2
"RFGSTO",2,2,2,2,2
"RFGRSN",1,8,1,NA,3
"RFGCOMPN",NA,10,NA,8,2
"RFGWIN",NA,2,1,12,NA
"RFGOPN",NA,2,NA,3,NA
"RFGCLN",NA,4,NA,17,NA
"RFGVNN",NA,NA,NA,NA,NA
"RFGICN",NA,2,NA,21,NA
"RFGSTP",NA,NA,NA,NA,NA
